nabci_id,name,description,jvs_in_bcr
1,Aleutian/Bering Sea Islands,"Included in this region are the Aleutian Islands, extending westward from the Alaskan mainland for 1,100 miles, and the Bering Sea islands, including the Pribilofs, St. Matthew, Hall, St. Lawrence, and Little Diomede. The Aleutian chain is volcanic in origin, with a maritime climate in which wind is ever present. Vegetation at higher elevations consists of dwarf shrub communities, mainly willowand crowberry. Meadows and marshes of herbs, sedges, and grasses are plentiful, and some islands have ericaceous bogs. Sea ice does not extend to the Aleutians and permafrost is generally absent; however, sea ice is an important feature of the Bering Sea. Seabirds are a dominant component of this region’s avifauna, and several species, including the Red-legged Kittiwake, Least Auklet, and Whiskered Auklet, breed only in this region. Southern Hemisphere procellariiforms occur regularly in the offshore waters of the southern Bering Sea and northern Gulf of Alaska during Alaskan summers. The breeding diversity of passerines (mainly Lapland Longspur, Snow Bunting, and Gray-crowned Rosy-Finch), and shorebirds (including Black Oystercatcher, Dunlin, Ruddy Turnstone, and Rock Sandpiper) is low. However, McKay’s Bunting, the only endemic Alaskan passerine, is restricted to this area.",Pacific Coast
2,Western Alaska,"This region consists of the Subarctic Coastal Plain of western Alaska and the Alaska Peninsula Mountains. Wet and mesic graminoid herbaceous communities dominate the lowlands, and numerous ponds, lakes, and rivers dot the landscape. Tall shrub communities are found along rivers and streams, and low shrub communities occupy uplands. Forests of spruce and hardwoods penetrate the region on the eastern edge. Permafrost is continuous, except in southern parts of the region. High densities of breeding waterfowl and shorebirds are found on the coastal plain of the Yukon and Kuskokwim Rivers. Intertidal areas here and lagoons of the northern side of the Alaska Peninsula support millions of shorebirds during migration, including Dunlin, Western Sandpiper, Red Knot, and Bar-tailed Godwit. The coast of the Alaska Peninsula supports high concentrations of wintering sea ducks, including Steller’s Eider, Harlequin, Oldsquaw, Surf Scoter, and Black Scoter. Passerine diversity is greatest in tall, riparian shrub habitats, where Arctic Warbler, Gray-cheeked Thrush, and Blackpoll Warbler nest. Gyrfalcon and Rough-legged Hawk nest along the riverine cliffs. Mainland sea cliffs are occupied by nesting colonies of Black-legged Kittiwake, Common Murre, and Pelagic Cormorant.",Pacific Coast
3,Arctic Plains and Mountains,"This region includes low-lying, coastal tundra and drier uplands of the Arctic mountains across the entire northern edge of North America. Because of thick and continuous permafrost, surface water dominates the landscape (20–50 percent of the coastal plain). Freezing and thawing form a patterned mosaic of polygonal ridges and ponds, and many rivers bisect the plain and flow into the Arctic Ocean. The ocean surface is generally frozen 9 to 10 months of the year, and the ice pack is never far from shore. Because of the wetness, waterfowl and shorebirds dominate the avian community and passerines are scarce. The most abundant breeding birds on the coastal plain include Northern Pintail, King Eider, Oldsquaw, American Golden-Plover, Semipalmated Sandpiper, Pectoral Sandpiper, Red-necked Phalarope, and Lapland Longspur. Several Old World species, including the Arctic Warbler and Bluethroat, penetrate the region from the west. Taiga passerines, such as Gray-cheeked Thrush and Yellow Warbler, reach the region along drainage systems, and raptors, including Gyrfalcon and Rough-legged Hawk, nest commonly along major rivers. Few bird species winter in the region.","Pacific Coast, Eastern Habitat"
4,Northwestern Interior Forest,"The interplay of elevation, permafrost, surface water, fire, and aspect creates an extensive patchwork of ecological types. Forest habitat in the region is dominated by white spruce, black spruce, poplars, and paper birch. Tall shrub communities occur along rivers, drainages, and near treeline. Bogs, consisting of low shrubs and shrub-graminoid communities, are common in the lowlands. Alpine dwarf scrub communities are common throughout mountainous regions, and the highest elevations are generally devoid of vegetation. Lowlands, bottomlands, and flats harbor many species of migrating and breeding ducks (e.g., Northern Pintail, Northern Shoveler, Green-winged Teal) and swans. These and the forested lowlands and uplands support breeding shorebirds, such as Greater and Lesser Yellowlegs; Solitary, and Spotted Sandpipers; Sanderling; and Common Snipe. American Golden-Plovers and Surfbirds are found in alpine habitats in mountainous ecoregions. Western Sandpiper, Long-billed Dowitcher, Short-billed Dowitcher, Hudsonian Godwit, and Dunlin use stopover sites along the coast that are also primary wintering habitat for Rock Sandpipers. The suite of passerines inhabiting upland communities in the region includes Alder Flycatcher; Yellow-rumped Warbler; Dark-eyed Junco; Boreal Chickadee; Swainson’s and Gray-cheeked thrushes; American Pipit; White-crowned, American Tree, and Fox sparrows; and Common Redpoll. At high elevations, Horned Lark and American Pipit are common breeders.","Pacific Coast, Prairie Habitat"
5,Northern Pacific Rainforest,"The coastal rainforest stretches from the western Gulf of Alaska south through British Columbia and the Pacific Northwest to northern California. Its maritime climate is characterized by heavy precipitation and mild temperatures. The region is dominated by forests of western hemlock and Sitka spruce in the far north, with balsam fir, Douglas fir, and coast redwood becoming more important farther south. Broadleaf forests are found along large mainland river drainages. High priority breeding forest birds include the Spotted Owl, Marbled Murrelet, Northern Goshawk, Chestnutbacked Chickadee, Red-breasted Sapsucker, and Hermit Warbler. The coast of the Northern Pacific Rainforest is characterized by river deltas and pockets of estuarine and freshwater wetlands set within steep, rocky shorelines. These wetlands provide critical breeding, wintering, and migration habitat for internationally significant populations of waterfowl and other wetland-dependent species. The area includes major stopover sites for migrating shorebirds, especially Western Sandpipers and Dunlins. Black Oystercatchers, Rock Sandpipers, Black Turnstones, and Surfbirds arecommon wintering species. nearshore marine areas support many breeding and wintering sea ducks. Many seabirds breed on offshore islands, including important populations of Ancient Murrelet, Rhinoceros Auklet, Tufted Puffin, Common Murre, Western and Glaucous-winged Gull, and Leach’s Storm-Petrel. Pelagic waters provide habitat for large numbers of shearwaters, storm-petrels, alcids, and Black-footed Albatross.",Pacific Coast
6,Boreal Taiga Plains,"The Boreal Taiga Plains region is dominated by the Mackenzie River and its tributaries in its northern portion and the boreal transition zone in the south. Black spruce is a dominant species in the open, coniferous forests of the north, while the warmer betterdrained southerly locales support mixed-wood forests of white and black spruce, lodgepole pine, tamarack, white birch, trembling aspen, and balsam poplar. Low-lying wetlands cover 25–50 percent of the zone, and patterned ground features are common. A large portion of the area is underlain by permafrost, creating a landscape that is seasonally waterlogged over large areas. Important birds of the region include Whooping Crane, American White Pelican, Marsh Wren, Wilson’s Phalarope, Yellow-headed Blackbird, Sharp-tailed Grouse, Mountain Bluebird, Great Gray Owl, Swainson’s Hawk, and Fox Sparrow. The Mackenzie Valley forms one of North America’s most traveled migratory corridors for waterfowl breeding along the Arctic Coast.",Prairie Habitat
7,Taiga Shield and Hudson Plain,"This BCR includes the Hudson Plains—the largest extensive area of wetlands in the world—and extends east and west onto the Canadian Shield. The subarctic climate is characterized by relatively short, cool summers with prolonged periods of daylight and long, very cold winters. The poorly drained areas of the Hudson Plains support dense sedge-moss-lichen covers, with open woodlands of black spruce and tamarack in better-drained sites. Coastal marshes and extensive tidal flats are present along the coastline. The Canadian Shield is characterized in upland sites and along rivers by open, mixed-wood forests of white spruce, balsam fir, trembling aspen, balsam poplar, and white birch. Further north, approaching the limit of tree growth, stunted black spruce and jack pine dominate, accompanied by alder, willow, and tamarack in the fens and bogs. Thousands of lakes and wetlands occur in glacially carved depressions, and peat-covered lowlands are commonly waterlogged or wet for prolonged periods due to discontinuous but widespread permafrost. The abundance of water provides an important habitat for breeding waterfowl. Representative birds include Black Scoter, Whimbrel, Rock and Willow Ptarmigan, Gray-cheeked Thrush, American Tree Sparrow, Short-billed Dowitcher, Common Redpoll, Harris’ Sparrow, Northern Shrike, Blackpoll Warbler, Fox Sparrow, and Rough-legged Hawk. The coasts of Hudson and James Bay provide critical shorebird staging habitat, funneling millions of birds southwards during fall migration.","Eastern Habitat, Prairie Habitat"
8,Boreal Softwood Shield,"The Boreal Softwood Shield is a broad, U-shaped region comprised of seacoasts in the east and vast areas that are more than 80 percent forested by closed stands of conifers, largely white and black spruce, balsam fir, and tamarack. Toward the south, broadleaf trees, such as white birch, trembling aspen, and balsam poplar are more widely distributed, as are white, red, and jack pine. The region is a broadly rolling mosaic of uplands and associated wetlands, dotted with numerous small to medium-sized lakes. Peatlands are common in wetland areas. Representative birds include American Black Duck, Purple Sandpiper, Yellow Rail, Yellow-bellied Flycatcher, Black-backed Woodpecker, Boreal Owl, and Mourning, Palm, Bay-breasted, Connecticut, Cape May, Magnolia, and Tennessee Warblers. Coastlines and offshore areas in the east are important year-round for breeding and wintering seabirds.","Eastern Habitat, Prairie Habitat"
9,Great Basin,"This large and complex region includes the Northern Basin and Range, Columbia Plateau, and the eastern slope of the Cascade Range. This area is dry due to its position in the rainshadow of the Cascade Range and the Sierra Nevada. Grasslands, sagebrush, and other xeric shrubs dominate the flats and lowlands, with piñon-juniper woodlands and open ponderosa pine forests on higher slopes. Lodgepole pine/sub-alpine fir forests occur at higher elevations on north-facing slopes. Several substantial lowland wetlands are extremely important to shorebirds, including breeding American Avocet; Black-necked Stilt; and Willet, migrating Wilson’s Phalarope, and other water birds, notably Eared Grebe. The region is also important for breeding Mountain Plover and Snowy Plover. Most of North American breeding White-faced Ibis and California Gulls nest in marshes and lakes scattered across the region. The Great Salt Lake and adjacent marshes host large numbers of American White Pelican, Cinnamon Teal, Northern Pintail, Redhead, Tundra Swan, and other waterfowl and many species of migrant shorebirds. Sage Grouse, Sage Sparrow, Sage Thrasher, and Brewer’s Sparrow are priority land birds of lowlands, with White-headed Woodpecker, Flammulated Owl, and Cassin’s Finch leading the list of characteristic birds of the region’s pine forests.","Intermountain West, Canadian Intermountain"
10,Northern Rockies,"Included in this area are the Northern Rocky Mountains and outlying ranges in both the United States and Canada, and also the intermontane Wyoming Basin and Fraser Basin. The Rockies are dominated by a variety of coniferous forest habitats. Drier areas are dominated by ponderosa pine, with Douglas fir and lodgepole pine at higher elevations and Engelman spruce and subalpine fir even higher. More mesic forests to the north and west are dominated by western larch, grand fir, western red cedar, and western hemlock. High priority forest birds include the Flammulated Owl, Lewis’ and Black-backed Woodpecker, Olive-sided Flycatcher, Townsend’s Warbler, Rufous Hummingbird, Black Swift, and Blue Grouse. Barrow’s Goldeneye, Harlequin Duck, and Trumpeter Swan breed in high-elevation lakes and streams. The Wyoming Basin and other lower-lying valleys are characterized by sagebrush shrubland and shrubsteppe habitat, much of which has been degraded by conversion to other uses or invasion of non-native plants. High priority birds include Sage Grouse, Ferruginous Hawk, Brewer’s Sparrow, and Sage Thrasher.","Intermountain West, Canadian Intermountain"
